,model_name,type,url,entities,multilingual,dataset,data_url,framework
0,cardiffnlp/twitter-roberta-base-sentiment,pipeline,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment,"{0:'negative', 1:'neutral',2:'positive'} ",F,tweeteval,,pytorch
1,cardiffnlp/twitter-roberta-base-sentiment-latest,pipeline,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest,"{0:'negative', 1:'neutral',2:'positive'} ",F,,,pytorch
2,cardiffnlp/twitter-xlm-roberta-base-sentiment,pipeline,https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base-sentiment,"Positive, Negative, Neutral",T,,,pytorch
3,nlptown/bert-base-multilingual-uncased-sentiment,pipeline,https://huggingface.co/nlptown/bert-base-multilingual-uncased-sentiment,"1, 2, 3, 4, 5",T,,,pytorch
4,finiteautomata/bertweet-base-sentiment-analysis,pipeline,https://huggingface.co/finiteautomata/bertweet-base-sentiment-analysis,"POS, NEG, NEU",F,amazon,,pytorch
5,siebert/sentiment-roberta-large-english,pipeline,https://huggingface.co/siebert/sentiment-roberta-large-english,"{0:'negative,1:'positive'}",F,,,pytorch
6,avichr/heBERT_sentiment_analysis,pipeline,https://huggingface.co/avichr/heBERT_sentiment_analysis,"Positive, Negative, Neutral",T,,,pytorch
8,sbcBI/sentiment_analysis,pipeline,https://huggingface.co/sbcBI/sentiment_analysis_model,"{0:'negative', 1:'neutral',2:'positive'} ",F,,,pytorch
9,sbcBI/sentiment_analysis_model,pipeline,https://huggingface.co/sbcBI/sentiment_analysis,"{0:'negative', 1:'neutral',2:'positive'} ",F,,,pytorch
10,j-hartmann/sentiment-roberta-large-english-3-classes,pipeline,https://huggingface.co/j-hartmann/sentiment-roberta-large-english-3-classes,"positive, negative, neutral",F,,,pytorch
11,rohanrajpal/bert-base-codemixed-uncased-sentiment,pipeline,https://huggingface.co/rohanrajpal/bert-base-codemixed-uncased-sentiment,"{0:'negative', 1:'neutral',2:'positive'} ",T,,,pytorch
12,juliensimon/reviews-sentiment-analysis,pipeline,https://huggingface.co/juliensimon/reviews-sentiment-analysis,"{0:'negative', 1:'positive'} ",F,,,pytorch
13,RANG012/SENATOR,pipeline,https://huggingface.co/RANG012/SENATOR,,,,,pytorch
14,bhadresh-savani/distilbert-base-uncased-sentiment-sst2,pipeline,https://huggingface.co/bhadresh-savani/distilbert-base-uncased-sentiment-sst2,"POSITIVE, NEGATIVE",F,,,pytorch
15,rabindralamsal/BERTsent,pipeline,https://huggingface.co/rabindralamsal/BERTsent,"{0:'negative', 1:'neutral',2:'positive'} ",F,,,pytorch
16,dhpollack/distilbert-dummy-sentiment,pipeline,https://huggingface.co/dhpollack/distilbert-dummy-sentiment,"positive, negative",F,,,pytorch
17,philschmid/distilbert-base-multilingual-cased-sentiment-2,pipeline,https://huggingface.co/philschmid/distilbert-base-multilingual-cased-sentiment-2,"positive, negative, neutral",F,,,pytorch
